entry_id;calculation_id;spacegroup
17621;4283;Pm-3m
18903;4284;Pm-3m
18904;4286;Pm-3m
17625;4289;Pm-3m
20443;4291;Pm-3m
17627;4295;Pm-3m
18140;4297;Pm-3m
8139;4299;P63/mmc
17629;4306;Pm-3m
17630;4308;Pm-3m
8141;4310;P63/mmc
19423;4314;Pm-3m
22242;4316;Pm-3m
6318;4333;Fm-3m
17349;4337;P63/mmc
18896;4340;P4/mmm
18136;4342;P4/mmm
30785;4346;P4/mmm
19422;4352;Pm-3m
8142;4353;P63/mmc
22243;4357;Pm-3m
28740;4358;P4/mmm
10705;4359;Pm-3m
18145;4361;Pm-3m
27974;4363;P4/mmm
8145;4366;P63/mmc
17380;4368;Pm-3m
18148;4370;Pm-3m
28744;4372;P4/mmm
30536;4374;P4/mmm
30025;4376;Pm-3m
17638;4378;Pm-3m
10711;4382;Pm-3m
10712;4388;Pm-3m
17640;4390;Pm-3m
18152;4392;Pm-3m
18153;4394;P4/mmm
17386;4395;Pm-3m
10715;4398;Pm-3m
29007;4399;Pm-3m
10972;4401;Pm-3m
9301;4419;Fm-3m
22248;4439;P4/mmm
18156;4441;Pm-3m
17389;4442;Pm-3m
18157;4443;Pm-3m
8156;4445;Fm-3m
17646;4446;Pm-3m
20463;4448;Pm-3m
20464;4452;Pm-3m
20721;4453;Pm-3m
10720;4456;Pm-3m
17392;4458;Pm-3m
17904;4460;Pm-3m
20465;4461;Pm-3m
20466;4463;Pm-3m
17650;4464;Pm-3m
17906;4466;Pm-3m
18674;4468;Pm-3m
20467;4469;Pm-3m
22309;4478;Fm-3m
12059;4483;Fm-3m
9297;4491;Im-3m
22473;4495;F-43m
8119;4498;Fm-3m
20684;4500;Pm-3m
22262;4505;Pm-3m
29784;4509;Pm-3m
30040;4511;Pm-3m
17397;4512;Pm-3m
22264;4514;Pm-3m
12057;4536;Fm-3m
12058;4537;Fm-3m
10325;4546;R-3m
10105;4549;Fm-3m
14014;4554;Fm-3m
8123;4556;Fm-3m
4543;4559;F-43m
11469;4561;Fm-3m
29003;4563;Pm-3m
20469;4566;F-43m
5497;4601;Fm-3m
4523;4610;F-43m
22475;4611;F-43m
17907;4625;Fm-3m
29018;4627;P4/mmm
10182;4659;Fm-3m
9672;4660;R-3m
10445;4664;Pm-3m
14034;4665;Pm-3m
30534;4668;P4/mmm
29013;4672;Pm-3m
8162;4674;Fm-3m
22476;4692;Fm-3m
17353;4694;F-43m
22221;4696;Fm-3m
17383;4710;Pm-3m
8155;4714;Fm-3m
8115;4734;Cmcm
18147;4742;Fm-3m
30535;4744;P4/mmm
30537;4749;P4/mmm
17898;4752;Fm-3m
14052;4755;Pm-3m
8163;4761;Fm-3m
21451;4787;Fm-3m
30533;4788;P4/mmm
13784;4789;P-6m2
14051;4792;Fm-3m
20468;4794;F-43m
4578;4802;Fm-3m
10729;4804;Pm-3m
17657;4805;Pm-3m
18169;4806;Pm-3m
10986;4807;Pm-3m
17402;4808;Pm-3m
12061;4844;Fm-3m
12062;4845;Fm-3m
12064;4847;Fm-3m
8165;4866;Fm-3m
4579;4870;F-43m
17404;4871;Pm-3m
17660;4873;Pm-3m
18172;4874;Pm-3m
3311;4880;I4mm
18967;4904;R-3m
19480;4905;Fmmm
12060;4907;Fm-3m
12063;4908;Fm-3m
8164;4918;Fm-3m
17661;4919;Pm-3m
5624;4944;Fm-3m
5625;4948;Fm-3m
5626;4955;Fm-3m
4177;4961;Fm-3m
14036;4964;Pm-3m
29020;4966;Pm-3m
29022;4967;P4/mmm
5627;4976;Fm-3m
6912;5002;Fm-3m
14035;5021;Pm-3m
5578;5023;Fm-3m
22263;5029;Fm-3m
29023;5031;P4/mmm
17406;5033;Pm-3m
18174;5034;Pm-3m
10991;5035;Pm-3m
17407;5036;Pm-3m
17663;5037;Pm-3m
20737;5038;F-43m
10480;5039;Pm-3m
10736;5040;Pm-3m
18176;5041;Pm-3m
2562;5057;P63/mmc
12065;5073;Fm-3m
12074;5080;Fm-3m
4672;5084;I4/mmm
8159;5092;Fm-3m
17655;5093;Pm-3m
8166;5095;Fm-3m
8167;5096;Fm-3m
29029;5099;Pm-3m
30309;5100;Pm-3m
5613;5101;Fm-3m
9972;5103;Pm-3m
10997;5105;P4/mmm
17413;5108;Pm-3m
1797;5115;Fm-3m
12067;5129;Fm-3m
12069;5130;Fm-3m
12070;5131;Fm-3m
12073;5133;Fm-3m
17557;5139;Fm-3m
22474;5140;Fm-3m
13762;5144;Fm-3m
14025;5145;Fm-3m
8154;5146;Fm-3m
17399;5147;R-3m
6117;5149;Fm-3m
31334;5151;P4/mmm
17414;5153;P4/mmm
29034;5155;Pm-3m
3084;5174;P-6m2
4110;5176;Pm-3m
18981;5184;P4/mmm
18988;5187;I4/mmm
8147;5192;P63/mmc
8158;5194;Fm-3m
7652;5196;F-43m
8168;5198;Fm-3m
8170;5199;Fm-3m
22530;5200;Pm-3m
22284;5209;Pm-3m
30061;5210;Pm-3m
22285;5213;Pm-3m
21518;5214;P-6m2
29039;5215;Pm-3m
22287;5216;Pm-3m
11005;5218;Pm-3m
4111;5224;Pm-3m
14032;5239;Fm-3m
8146;5242;P63/mmc
8173;5248;Fm-3m
5615;5249;Fm-3m
20234;5250;F-43m
17419;5251;Pm-3m
31087;5254;P4/mmm
17935;5259;P4/mmm
29043;5261;Pm-3m
30067;5262;Pm-3m
29044;5264;Pm-3m
10497;5267;P4/mmm
20242;5271;Pm-3m
2577;5281;Fm-3m
2578;5284;Fm-3m
2580;5289;Fm-3m
8117;5295;Fm-3m
20685;5297;F-43m
6116;5304;Fm-3m
6628;5305;F-43m
13807;5308;C2/m
17670;5310;P4/mmm
21515;5311;P-6m2
20235;5312;F-43m
17676;5313;P4/mmm
31091;5315;P4/mmm
17424;5316;Pm-3m
19476;5317;Pm-3m
17429;5318;Pm-3m
17686;5320;Pm-3m
9226;5322;P63/mmc
5404;5336;Fm-3m
10930;5349;Fm-3m
8121;5351;Fm-3m
18905;5352;Fm-3m
6119;5355;F-43m
21508;5362;F-43m
31079;5364;P4/mmm
11508;5366;Fm-3m
22537;5368;F-43m
21516;5370;P-6m2
29816;5371;Pm-3m
17432;5372;Pm-3m
17944;5374;Pm-3m
11019;5375;Pm-3m
5664;5381;F-43m
4641;5390;F-43m
12068;5399;Fm-3m
8171;5405;Fm-3m
21510;5411;Pm-3m
21517;5414;P-6m2
30063;5415;P4/mmm
18193;5418;Pm-3m
30843;5419;P4/mmm
9225;5420;P63/mmc
17436;5422;P4/mmm
11022;5424;Pm-3m
8169;5446;Fm-3m
11510;5447;Pm-3m
18721;5449;P4/mmm
4138;5459;Fm-3m
5677;5461;Pm-3m
6958;5469;Fm-3m
5166;5473;Fm-3m
4656;5477;F-43m
5426;5483;Fm-3m
5427;5488;Fm-3m
8157;5497;Fm-3m
17671;5498;Pm-3m
11000;5499;Pm-3m
30060;5501;Fm-3m
17168;5503;P4/mmm
17680;5504;P4/mmm
11012;5505;Pm-3m
6913;5506;Fm-3m
29826;5507;Pm-3m
17441;5508;Pm-3m
10516;5509;Pm-3m
17700;5510;Pm-3m
17446;5511;Pm-3m
4149;5523;Fm-3m
4150;5529;Fm-3m
5176;5535;Fm-3m
22268;5539;F-43m
11511;5541;Pm-3m
11512;5543;Pm-3m
17685;5550;P4/mmm
5632;5551;Fm-3m
8206;5557;R-3m
10777;5558;Pm-3m
5177;5560;Fm-3m
7484;5566;Fm-3m
5179;5572;Fm-3m
5181;5581;Fm-3m
6974;5582;Fm-3m
8001;5584;R3m
12071;5587;Fm-3m
12072;5588;Fm-3m
14029;5590;Fm-3m
5611;5593;P4/mmm
21513;5594;P-6m2
8182;5595;P-6m2
11514;5596;Pm-3m
29551;5597;Fm-3m
21520;5598;F-43m
17427;5600;Pm-3m
22298;5602;Pm-3m
17187;5605;Pm-3m
21289;5606;P4/mmm
29834;5607;Pm-3m
20780;5609;Pm-3m
8480;5611;Pm-3m
5182;5615;Fm-3m
6975;5617;Fm-3m
4671;5626;Fm-3m
5183;5628;Fm-3m
18160;5630;Fm-3m
10940;5636;Fm-3m
8383;5637;Fm-3m
8389;5638;Fm-3m
6095;5639;Fm-3m
10965;5640;Pm-3m
30819;5641;Fm-3m
11505;5642;Fm-3m
21509;5643;Fm-3m
5616;5645;Fmmm
22308;5652;P-6m2
17457;5654;Pm-3m
17970;5655;Pm-3m
8112;5690;Fm-3m
5834;5693;Fm-3m
6118;5695;F-43m
11509;5697;Pm-3m
30058;5698;Fm-3m
21514;5699;P-6m2
11517;5703;Fm-3m
17425;5704;P4/mmm
7682;5705;Imma
8196;5706;P63/mmc
9221;5707;P63/mmc
22306;5710;P-6m2
31121;5712;Pm-3m
31126;5714;Pm-3m
17460;5715;Pm-3m
4163;5722;Fm-3m
12066;5727;Fm-3m
17861;5729;F-43m
13795;5731;Fm-3m
4568;5732;Fm-3m
7651;5734;Fd-3m
8172;5735;Fm-3m
22305;5737;Pm-3m
17454;5740;Pm-3m
30357;5744;P4/mmm
10789;5745;Pm-3m
5151;5746;Pm-3m
10793;5748;Pm-3m
20282;5749;Pm-3m
20241;5767;Fm-3m
17439;5773;Pm-3m
30618;5779;P4/mmm
17207;5780;Pm-3m
20281;5781;Pm-3m
