entry_id;calculation_id;delta_e
30127;11032;-0.865009
3891;11033;0.0296367
10556;11035;-0.950133
14662;11036;-1.83545
18252;11037;-0.259276
18508;11038;-0.552068
4405;11039;-0.540464
10557;11041;-0.803049
14663;11042;-2.00081
17229;11043;-0.0451409
17741;11044;-0.423734
17997;11045;-1.0467
18509;11046;-0.431001
30129;11047;-0.672403
6200;11048;-0.495488
14664;11050;-2.00026
17998;11051;-0.918372
18510;11052;-0.38934
30386;11054;-0.0928569
3126;11055;-1.53574
3382;11056;-2.01968
10559;11059;-0.166175
26547;11065;-1.26106
30387;11066;-0.0928569
30643;11067;-0.871849
14666;11070;-1.99616
25779;11073;-1.42118
26548;11074;-0.924988
30644;11075;-0.389527
13894;11077;-4.26778
17233;11079;-0.0186239
17745;11080;-0.388889
25780;11081;-1.41726
14668;11084;-1.98603
25781;11085;-1.41078
7744;11086;-0.85488
10307;11087;-0.218188
17491;11090;-0.181395
17747;11091;-0.518648
28855;11092;-0.322235
2362;11093;-1.73061
18004;11097;-0.40898
3900;11099;-0.207463
18261;11100;-0.288343
22361;11101;-0.300545
7747;11102;-0.362696
21081;11103;-0.641177
3391;11105;-1.22039
10312;11108;-1.25747
14402;11109;0.0181663
17752;11111;-0.124591
23390;11113;-0.229644
13646;11116;-0.517661
3649;11117;-0.425549
10570;11120;-0.266834
17498;11122;-0.323485
30398;11124;-0.30867
3138;11125;-1.11094
4932;11126;-1.13941
13391;11131;-1.01866
17243;11132;-0.382191
7496;11134;0.032357
18012;11136;-0.835964
21087;11138;-2.39751
30400;11139;-0.900987
30656;11140;-0.830945
1858;11141;-1.15728
7497;11142;-1.29288
17502;11152;-0.59071
18782;11153;-0.335163
19038;11154;-1.0169
22536;11155;-0.202849
3142;11157;-2.94005
7241;11158;-0.0890993
10062;11160;-0.548162
17759;11162;-0.16343
14682;11164;-1.11663
29125;11171;-0.133707
31173;11172;-0.0752513
7759;11173;-0.928243
4684;11176;-0.649403
10835;11177;-0.471463
17251;11179;-0.17917
28581;11247;-0.524103
5428;11248;1.16983
10750;11331;-0.696182
10560;11332;-0.347827
18000;11415;-0.911127
23395;11417;-0.442735
10814;11448;-0.276161
12371;11449;-0.732877
7246;11450;-0.0412271
18021;11452;-1.07083
20430;11488;0.0000480975
4311;11489;-0.836304
31338;11490;0.153194
14103;11491;-0.397305
17765;11494;-0.784145
10587;11495;0.306675
18029;11496;-0.432787
29905;11497;-0.272156
17518;11498;-0.688221
18031;11499;-0.981133
18034;11500;-0.790495
17524;11501;-0.721585
10819;11535;0.0804061
30424;11537;-0.248038
29914;11538;-1.01996
18039;11539;-1.01725
3167;11540;-2.96621
10601;11542;-0.409516
15947;11565;-1.92224
17775;11568;-0.56485
17777;11569;-0.301766
18037;11570;-0.325846
10602;11571;-0.12081
11117;11572;-0.0652887
17533;11573;-0.473119
10093;11574;-0.378463
18815;11575;-0.123946
7498;11604;-0.633605
5969;11605;-0.952739
5970;11606;-0.790042
10071;11607;-0.320288
30161;11608;-0.137155
30421;11609;-0.518874
5987;11610;-1.50986
5478;11611;-0.334516
22919;11612;-0.186042
22407;11613;0.101048
5487;11614;-2.93299
22409;11615;-0.177887
2896;11647;-1.3425
17544;11649;-0.713949
18314;11650;-0.893598
27476;11682;-0.259271
17507;11684;-0.850015
12372;11685;-0.482227
17764;11686;-0.367353
18026;11687;-0.230669
2642;11688;-0.23612
4437;11689;0.0358764
10345;11690;-0.255566
10099;11691;-0.136172
20619;11692;-0.400442
17803;11694;-0.46467
21097;11721;0.129562
11876;11723;0
29152;11724;-0.392577
10614;11726;-0.421757
18055;11728;-0.615306
17808;11730;-0.224211
18320;11731;-0.914086
4700;11761;-0.316206
10604;11762;-0.282319
10611;11763;-0.186823
20623;11764;-1.35075
18066;11765;-0.612925
8280;11805;-0.712735
26847;11807;-0.45957
10100;11810;-0.417773
30964;11812;-0.473944
18834;11813;-0.611539
10118;11814;-0.369873
17303;11815;-0.365988
31227;11816;-0.417266
17504;11840;-0.156314
17769;11841;-0.844631
5716;11842;-0.293964
30682;11843;-0.687055
17286;11844;-0.438565
11130;11845;-0.438352
18074;11848;-0.637218
17227;11876;0.0626909
5981;11877;-0.557577
17529;11879;-0.638759
7023;11880;0.0751257
18071;11881;-0.726908
10122;11882;-0.00384997
10638;11885;-0.0397651
6466;11916;-0.273375
17514;11918;-0.276598
27614;11921;-0.16349
10349;11922;-0.157887
18046;11923;-0.435221
10618;11924;-0.172981
29948;11925;-0.214826
18081;11926;-0.373146
17057;11927;-0.110533
30569;11956;-0.190394
3061;11957;-2.54295
17231;11961;0.0573968
18511;11962;-0.29155
18787;11964;-0.352326
26573;11966;-2.26756
7812;11972;-0.36482
11157;11974;-0.293799
11158;11976;-0.307454
30987;11977;-0.852272
19112;11978;0.0158212
20049;11991;0.0143982
4696;11995;-0.242676
31226;11997;-0.385926
17569;11998;-0.815376
29195;11999;-0.575536
7834;12000;-0.299651
4612;12027;0.0657357
5148;12028;-2.47009
14667;12029;-1.44036
5720;12030;-0.253743
11111;12031;-0.478156
27631;12034;0.0123437
5507;12035;-2.17752
7825;12037;-0.200584
17578;12038;-0.640334
10655;12039;-0.165356
8276;12044;-0.545731
20846;12045;0.0978032
10355;12047;-0.372668
4466;12048;0.00078857
29167;12049;-0.229614
5764;12050;0.0111989
17062;12051;0.13569
11165;12052;-0.268065
18866;12053;-0.606246
3643;12082;-0.248454
1876;12085;-0.00118043
5217;12087;-0.672852
21388;12088;-0.458542
20620;12089;-0.437641
20621;12091;-0.435494
19086;12092;-0.686602
22163;12095;0.0362524
5824;12096;0.22287
19953;12097;-0.869413
3555;12098;-0.613944
10505;12099;-0.309352
22373;12101;-0.309506
4457;12105;-2.50945
13429;12106;-0.863035
3451;12107;-0.617658
18078;12113;-0.672581
22179;12115;-2.76114
22182;12116;-2.73561
18089;12119;-0.682506
7832;12120;-0.445817
29199;12121;-0.320586
29969;12122;-0.513626
16043;12123;-0.0262967
16045;12124;-0.249905
21687;12126;-0.0411453
11173;12127;-0.367028
30235;12128;-0.107857
11180;12129;-0.370974
18109;12130;-0.374706
17342;12131;-0.2997
22431;12133;0.0386195
10641;12135;-0.305218
17582;12137;-0.238569
18878;12139;-2.41886
18880;12140;-0.187957
4404;12172;-0.695105
5717;12173;-0.284833
28881;12174;-0.341869
5722;12175;-0.422698
24284;12177;-1.58014
10123;12179;-0.024385
18854;12182;0.242066
17581;12183;-0.342117
5787;12184;-2.02932
17333;12186;-0.977741
17589;12187;-0.202369
30238;12188;-0.0806188
18112;12190;-0.27748
12373;12214;-0.524583
12375;12215;-0.465529
13690;12219;-0.303085
22678;12220;-0.708511
10663;12247;-0.277154
20575;12248;-2.90753
16488;12250;0.16739
20083;12253;-0.248991
5225;12255;-0.393683
11139;12256;-0.482026
22176;12259;-3.01845
17568;12260;-0.442703
17573;12261;-0.847712
17065;12262;-0.454431
10652;12263;-0.401656
15014;12264;-0.491905
17599;12265;-0.3166
13918;12289;-0.166331
11368;12290;-2.63868
17054;12296;-0.246765
17055;12297;-0.276202
17060;12298;-0.218749
18364;12300;-0.482976
10734;12323;-0.396465
5699;12324;-1.42627
18042;12326;-0.407542
16771;12327;-2.31377
22452;12330;-0.462071
18098;12331;-0.323851
30930;12366;0.336418
21576;12368;-0.994526
30921;12369;-0.663874
17264;12370;-0.509154
5218;12371;-0.679675
28390;12372;-0.376601
17560;12373;-0.135843
22045;12400;-2.6565
4658;12401;-2.47397
22372;12403;-0.0555103
13671;12405;-0.330678
10347;12406;-0.141624
22428;12411;-0.171028
10650;12412;-0.278279
10658;12413;-0.172838
20403;12414;-0.132469
8105;12416;0.0352949
17720;12442;-1.0394
28628;12443;-0.353764
8039;12445;-0.0153817
12668;12447;-0.8028
19859;12448;-0.829075
27645;12450;-0.100272
14241;12451;-0.470345
17588;12452;-0.109441
25372;12453;0.221124
18875;12454;-0.230709
19391;12455;-0.38924
6316;12456;0.730958
5554;12457;-2.91635
19460;12481;0.194028
17531;12485;-0.523466
24544;12486;0.281294
5763;12490;-0.376629
20637;12491;-0.0865352
30719;12492;-0.123751
17829;12493;-0.365959
23725;12494;-0.514979
7828;12495;-0.0630781
21688;12498;-0.0927253
18358;12499;-0.52555
4772;12500;-1.31657
18367;12501;-0.191847
13749;12502;-0.493082
20436;12505;-1.11882
19462;12514;0.00643917
21291;12515;-0.56701
3872;12516;-0.42831
26833;12518;-2.40462
10083;12520;0.0473896
30684;12521;-1.57857
28171;12523;-0.543749
10664;12527;0.0274022
16596;12551;-0.411173
21057;12553;0.134
22378;12556;-0.0871679
18794;12557;-0.348561
21106;12558;-0.407681
17534;12559;-0.301469
20632;12562;-0.553136
7817;12564;-0.216132
17595;12566;-0.425627
8367;12567;-0.492749
20169;12568;-2.29434
8398;12569;-0.809386
10765;12583;-0.459293
5216;12586;-0.21917
4724;12588;3.46091
18855;12591;0.476722
17078;12593;-0.114021
18360;12594;-0.492091
10172;12595;-1.20254
19409;12596;-0.0317507
25652;12597;-0.724034
3031;12599;-2.21662
18268;12621;-1.07892
18793;12622;-0.284487
30685;12623;-1.36326
11990;12626;-1.70405
3032;12627;-2.18317
13668;12660;-0.135722
19087;12662;-0.3699
20631;12664;-0.857901
10389;12665;-0.448429
10653;12668;-0.263539
19382;12672;-1.13924
3493;12673;-0.679675
18926;12696;-2.16766
18484;12698;-1.08009
14990;12700;-1.16256
10386;12701;-0.250428
29201;12703;-0.217855
16042;12704;-0.027445
20674;12706;0.0846695
18928;12710;-2.84874
31053;12735;0.115894
20633;12739;-0.301892
7813;12740;-0.200787
29193;12741;-0.469412
8412;12744;-0.834626
17269;12776;-0.581652
17273;12777;-0.561365
24283;12778;-1.74605
17275;12779;-0.287001
13178;12781;-0.587287
11134;12782;-0.857068
18359;12785;-0.668964
30752;12786;-0.363266
5555;12787;-3.55337
10431;12788;-0.155983
2743;12789;-0.493623
18910;12790;-0.0431704
6610;12792;-3.48295
4619;12811;-1.82617
20573;12812;0.0432614
17263;12813;-0.239266
10608;12815;-0.419527
16807;12816;-0.386772
10651;12817;-0.341274
8402;12819;-0.647997
20492;12846;-1.33959
18013;12847;-0.212338
2631;12848;0.00629547
13692;12850;-0.355091
16785;12851;-1.41559
18835;12852;-0.104277
17587;12855;-0.698355
17592;12856;-0.328045
12273;12860;-1.67997
26834;12888;-2.40415
20634;12891;-0.335077
10120;12892;-0.229613
10385;12894;-0.504649
10644;12895;-0.318675
17072;12896;-0.0949929
18363;12898;-0.621501
8407;12900;-0.701679
10531;12923;-0.388081
20638;12925;-0.548502
11162;12926;-0.465919
7918;12928;-0.608329
19012;12951;0.203136
19037;12952;-1.18344
28910;12954;-0.296896
18063;12956;-0.438639
30458;12957;-0.180913
6278;12958;-1.18965
7829;12959;-0.62787
5553;12962;-2.91482
12263;12963;-1.84262
11144;12967;-0.92454
17579;12968;-0.506566
11467;12989;-3.07863
6609;12990;-3.479
19705;12991;-0.119026
19454;12992;-0.191438
6890;12993;-2.81858
6891;12994;-2.38543
7149;12995;-2.91874
6392;12996;-1.48715
24280;12998;-1.73544
11120;12999;-0.464865
18362;13000;-0.348151
6622;13002;-0.781392
28901;13009;-0.289209
17792;13010;-0.287926
6126;13011;-3.2904
7656;13013;-3.01246
11133;13026;-0.839996
4313;13052;-0.845276
16415;13054;1.70105
21058;13055;0.287174
9276;13056;0.115894
13639;13057;-1.28003
9307;13059;0.0421096
29699;13066;0.0658851
28684;13068;-0.0743881
17850;13071;-0.237695
8397;13073;-0.6363
3033;13075;-2.14803
18946;13076;-2.52993
6219;13079;-0.485277
11110;13080;-0.285892
15217;13081;-0.169348
30945;13082;-0.610154
17302;13083;-0.166204
20636;13084;-0.23065
19717;13087;-0.28677
17800;13094;-0.592454
23548;13095;-0.319454
25397;13097;-0.689027
20456;13098;-2.79935
2275;13099;-0.423615
13042;13100;-0.812427
17300;13102;-0.240117
2183;13103;-1.01158
18361;13104;-0.556914
13238;13107;-3.28669
11194;13108;-0.292936
6611;13109;-3.55343
16895;13110;-3.11087
7923;13111;-0.464505
7924;13112;-0.827505
7410;13113;-3.08123
8456;13116;-0.657693
20775;13126;-4.28309
28908;13129;-0.328769
17816;13130;-0.479012
17823;13132;-0.40395
2185;13133;-1.01163
18874;13134;-0.197005
5030;13135;-0.274899
7916;13136;-0.495816
8453;13138;-0.759622
8459;13140;-0.580092
5640;13141;-2.95934
5647;13142;-1.95204
10864;13157;-0.746738
8047;13165;-0.455182
20905;13166;-1.88784
11711;13167;-0.412578
2517;13168;-2.69277
8420;13169;-0.698248
13828;13170;0.00845472
31352;13171;-0.044141
17145;13173;0.198452
18429;13174;-0.0990398
18028;13178;-0.442083
11669;13180;-1.72446
22278;13197;-1.74723
8436;13198;-3.13727
13573;13199;-0.771228
20652;13202;-0.119131
10661;13211;-0.277385
16047;13213;-0.0542208
14519;13215;-0.502135
1706;13216;-0.363867
15895;13219;-0.302294
5638;13220;-2.98209
5639;13221;-2.97249
5646;13222;-3.53545
19407;13228;-0.394602
12126;13230;-1.36084
10107;13232;-2.02757
17820;13235;-0.141727
5255;13236;-1.12823
10387;13237;-0.706395
13212;13239;-1.42515
13984;13240;-0.879025
6297;13241;-1.01673
18356;13242;-0.496851
11714;13244;-1.11286
13268;13245;-1.69026
8411;13246;-0.650322
14824;13247;-0.314479
16112;13248;-0.687277
5628;13249;-3.41356
8448;13250;-0.661395
24438;13251;-0.342914
8454;13254;-0.738089
21788;13255;-0.412934
4705;13259;-0.370513
17280;13260;-0.871904
30437;13261;0.0176475
28649;13264;-0.539639
17809;13265;-0.177025
8202;13266;-2.81456
5642;13267;-2.99196
8209;13268;-2.58381
16169;13269;-0.632648
31224;13274;-0.297658
13209;13275;-1.97603
13210;13276;-1.97399
17075;13278;0.380171
30746;13279;-0.436233
17084;13280;-0.227699
20168;13282;-1.17727
7352;13283;-1.14075
8419;13284;-0.560455
2794;13285;-0.748721
5637;13287;-3.08125
8457;13288;-0.779371
19996;13289;-0.00743818
18718;13290;-0.226151
9999;13291;-1.98946
5644;13292;-2.97648
12279;13303;-0.363611
19147;13311;-2.2809
18392;13312;-0.453677
12748;13313;-0.94419
21805;13315;-0.474064
17283;13320;-0.236589
20899;13323;-0.389364
4778;13327;-1.20215
8400;13328;-0.404847
19719;13329;-2.49302
10488;13330;-0.191995
5645;13331;-2.95081
17322;13348;-0.807445
30251;13350;-0.657812
19752;13355;-3.55441
17144;13376;0.166658
12529;13377;-0.624658
19211;13378;-0.311884
17271;13380;-0.362036
30947;13381;-0.58771
10634;13383;0.118959
10640;13384;-0.378779
10646;13385;-0.357577
10656;13387;-0.128467
10919;13389;-0.321242
14007;13390;-0.593534
16110;13393;-0.714799
8449;13394;-0.672681
13843;13400;-0.518298
5643;13401;-2.98645
13850;13402;-0.331466
5908;13403;-2.75979
3092;13406;-2.55141
2939;13410;-0.825561
24066;13411;-1.85867
8092;13412;-2.67628
18416;13414;-0.543504
27992;13415;-0.661915
17146;13447;0.0681847
17278;13450;-0.54023
24067;13451;-1.4439
30532;13454;0.0613516
8446;13455;-0.491509
21789;13457;-0.435898
8467;13458;-0.628418
3854;13459;-0.304358
16944;13460;-0.723441
10329;13484;-0.156584
6277;13485;-1.25599
2184;13486;-1.01157
11670;13487;-1.55956
4502;13488;-0.269342
10657;13489;-0.115078
18355;13490;-0.210428
30516;13494;-0.767057
9947;13497;-0.288067
3798;13498;-0.465567
29780;13499;-1.12635
21254;13501;-0.28154
2798;13502;-0.456206
8444;13503;-0.543529
8445;13504;-0.587649
8447;13505;-0.646427
2061;13506;-0.128353
7782;13516;-0.422602
23434;13517;-0.364179
10363;13518;-0.36363
18828;13519;-0.273321
18876;13521;0.0663265
27947;13522;-0.459596
1709;13523;-0.397907
25651;13524;-0.792082
14041;13525;-0.817746
18699;13527;-0.618901
5630;13529;-2.09187
25672;1352933;-1.60894
8208;13532;-3.26498
3341;13533;-0.452993
8219;13535;-0.389902
21296;13537;-0.502026
16946;13538;-0.77594
2080;13541;-0.372097
7775;13558;-0.000367256
4722;13560;0.00957124
18852;13561;-0.184491
13475;13562;-1.31686
11168;13563;-0.362137
7584;13564;-0.242747
23872;13567;-1.97952
21623;13580;-1.30902
21446;13582;-0.558395
30830;13586;-1.10773
13853;13590;0.0427159
16943;13591;-0.956269
17508;13610;0.254905
18821;13611;-0.370984
13215;13612;-1.41371
29545;13613;-0.153887
10264;13614;-1.14431
8224;13616;-0.334911
5671;13618;-1.74367
5672;13620;-1.5014
6441;13634;-1.91129
9623;13636;0
21102;13641;0.331593
10633;13643;-0.384458
13213;13644;-1.95853
21175;13645;-1.85262
31030;13646;-0.894024
18390;13647;-0.626287
8406;13648;-0.562817
16108;13650;-0.735094
22279;13651;-1.49517
5400;13654;-1.20241
17292;13656;-0.104721
13758;13658;-0.613296
18389;13659;-0.491332
18227;13661;-1.08079
19000;13662;-2.28878
30863;13678;-0.243068
17879;13681;-0.452441
9938;13682;-0.88321
16109;13683;-0.718529
2800;13684;-0.488333
20778;13686;-0.601032
16945;13688;-0.761448
4639;13689;-1.17758
8231;13690;0.0311093
13108;13691;-2.09004
29910;13719;-0.901757
30995;13721;-1.08604
25369;13723;0.162813
1708;13726;-0.495556
18391;13727;-0.627877
16374;13728;-0.837035
15624;13729;-1.12341
15626;13730;-1.11461
28029;13731;-0.76785
7435;13732;-0.385764
6932;13733;-1.20309
2352;13734;-1.45056
11174;13741;-0.00940088
22505;13743;-0.871104
8225;13745;-0.41372
8491;13748;-0.179281
18239;13749;-1.12411
10343;13766;-1.63168
10643;13769;-0.372964
18426;13780;-0.448034
19459;13781;0.0613516
29818;13782;-0.159712
5380;13784;-2.32331
25072;13785;-1.31375
13192;13787;-2.02443
31031;13789;-0.904469
16111;13790;-0.706467
12310;13791;-0.287338
20779;13793;-0.461835
8220;13794;-0.433738
13872;13795;-0.489384
29542;13797;-0.426554
31342;13798;-0.223832
8233;13800;-0.423986
25246;13801;-0.796881
5424;13802;-3.2798
