entry_id;calculation_id;band_gap
31342;13798;0
8233;13800;0
25246;13801;1.966
5424;13802;1.689
7217;13803;0.721
20773;13813;5.495
14660;13814;0
8027;13815;0
10335;13816;1.738
31029;13820;0
31134;13840;0
26784;13841;0
21841;13845;6.549
9939;13846;0
18409;13847;0
13191;13848;0
26439;13859;0
2767;13860;0
13214;13866;2.404
11176;13867;0
18415;13868;0
30351;13869;0
8230;13871;0
22588;13872;4.106
5676;13873;0
14070;13876;0
24278;13877;2.471
4967;13878;0
4206;13879;1.266
12776;13881;4.067
21080;13898;3.327
2801;13900;0
4704;13951;0.791
25071;13968;0
5379;13977;0
22335;13978;1.205
5719;13979;0
4723;13981;5.341
10619;13982;0
28916;13983;0
25373;13991;2.19
20960;14009;1.911
23316;14016;1.039
4461;14017;1.445
13694;14018;0
1960;14022;1.589
19148;14023;3.285
27964;14024;0
12749;14025;0
9940;14026;0
18438;14051;0
16782;14057;1.817
16044;14059;0
25370;14060;2.372
18412;14064;0
18414;14065;0
8443;14074;0
15625;14075;0
22811;14076;5.018
7950;14078;0
17955;14083;0
4364;14084;1.806
8468;14085;0
6161;14086;0
12311;14087;0
2062;14088;0.143
12830;14089;0
22323;14090;0
24469;14091;0
15020;14095;0
1704;14096;0
18398;14097;0
18399;14098;0
2799;14100;0.3
30833;14101;0
29557;14102;0
15640;14103;0.627
16949;14104;0
29594;14105;0
3105;14107;1.69
13875;14109;0
27810;14110;0
11567;14112;2.587
13877;14113;0
5423;14115;1.685
22090;14118;0
12601;14120;0
19784;14121;6.719
5683;14122;0
5684;14124;0
22093;14125;0
18388;14128;0
15602;14129;0
15623;14130;0
18763;14134;0
5950;14144;1.313
11333;14145;0
5696;14146;3.85
25790;14147;4.161
19550;14149;0.426
27902;14160;0
21445;14161;0
5910;14163;0
3870;14164;0
13905;14166;0
12884;14169;0
23143;14170;3.139
25371;14204;1.748
20503;14207;0
16784;14247;1.46
19090;14248;0
20449;14249;4.008
16953;14252;0.922
3874;14253;0
10554;14254;0
18831;14290;2.618
28028;14294;0
5651;14295;3.453
5952;14297;1.312
13911;14298;0.48
18400;14324;0
10021;14328;0
30371;14330;0
13904;14332;0
10636;14349;0
8571;14357;0
6483;14373;3.912
18848;14376;0
8229;14377;0
29596;14378;0
27577;14381;0
16984;14382;0.94
23404;14383;0
10074;14385;2.743
18405;14393;0
30542;14394;0
4703;14397;0.354
27984;14398;0
30829;14399;0
8217;14402;0
22324;14405;0
30103;14406;0
13865;14407;3.143
13866;14408;0
15265;14416;0
14901;14417;0
13927;14420;4.607
13928;14421;4.588
8226;14422;0
30507;14426;0
18413;14427;0
16956;14428;0.403
18862;14430;0.819
13797;14431;0
25799;14432;0
20086;14434;1.819
20087;14435;1.469
5220;14448;1.719
5949;14450;1.025
5694;14451;1.996
5953;14452;0.362
27963;14453;0
28228;14454;0
5465;14456;0.704
17839;14467;0
18191;14469;0
16955;14470;0.61
13624;14472;0
15722;14486;0.625
27777;14487;0
10254;14488;1.211
10026;14489;0
5948;14490;1.023
25798;14491;0
28013;14494;0
16954;14495;1.014
5951;14496;0.841
20057;14497;0
13208;14502;2.253
16880;14503;0
2853;14504;7.887
13659;14507;0
13660;14508;0
22638;14509;0.751
5466;14510;0.656
10828;14515;0
6746;14516;0
5222;14517;1.013
4199;14518;1.887
22643;14529;0
19551;14539;0.426
9950;14548;0
30104;14549;0
10027;14551;0
6745;14552;0
5219;14553;3.553
5221;14560;3.317
22087;14561;0
7379;14572;0
8232;14573;0
22086;14580;0
7997;14581;0
14158;14582;0
30620;14589;0
10024;14590;0
13658;14593;0
6747;14594;0
31353;14598;0
21389;14603;0
28147;14604;0
24068;14605;1.332
18879;14606;0
5331;14608;2.267
18936;14609;0
16643;14610;0
28039;14612;0
30135;14613;0
13661;14614;0
30557;14624;0
20486;14625;0
22091;14629;0
29593;14632;0
23377;14633;0
13400;14635;3.761
13915;14636;0
6744;14638;0
20795;14641;0
5679;14642;3.273
5775;14643;6.421
21173;14644;0
8228;14645;0
10023;14646;0
30941;14649;0
13938;14650;0
22670;14651;6.973
7406;14668;0.36
10546;14669;0
2403;14670;0
30807;14680;0
16761;14683;0
16760;14684;0
17767;14690;0
31223;14691;0
19146;14699;3.295
16616;14702;0.825
18212;14704;0
