entry_id;calculation_id;name
17726;10966;LiAl2Ir
28834;10968;SmFeC2
3110;10969;PbO
10543;10970;Sm3Al
21570;10973;VN
6698;10974;HgI
13620;10976;CaCuO2
19834;109766;Tb4Zn5Ge6
23366;10978;SrAlGeH
28836;10979;TbFeC2
5162;10980;FeSe
6699;10981;HgBr
10289;10982;TmNiC2
17985;10983;VPd3
21316;10984;TiAl3
6700;10986;HgI
17986;10987;YPd3
4908;10988;ZnO
17732;10992;NaTl
21319;10994;CaZnSe2
21575;10995;NiHO2
25255;10996;LiAgC2
17221;10997;EuTl3
30377;10999;GdIn3
17222;11002;GaFe2Ni
13114;11004;RbS
14657;11005;RbPrS2
6450;11006;GaN
14658;11007;RbNdS2
17224;11008;TiGaFe2
17480;11009;HoTl3
30343;110092;UGaRu
30380;11010;GdIr3
19912;110102;Er5Si4
19913;110107;FeSb2O4
7476;11012;TePt
7990;11013;SrGe
8503;11014;K3Sb
14659;11015;RbSmS2
25260;11017;KAgC2
5171;11022;NiB
17738;11025;NbNi2Sn
19947;110259;PbWO4
17994;11026;PuPt3
4403;11028;HgF
14661;11029;RbGdS2
30127;11032;EuPd
3891;11033;TlSbSe2
10556;11035;ScAlPd2
14662;11036;RbTbS2
18252;11037;CeInCu2
18508;11038;Li2GaPd
19980;110385;Ca19In8N7
4405;11039;HgBr
19981;110391;Sr19In8N7
10557;11041;ZrAlPd2
14663;11042;RbDyS2
17229;11043;FeSnRu2
17741;11044;NbPd3
17997;11045;ScPt3
18509;11046;Li2GaIr
30129;11047;EuPd3
6200;11048;InAgS2
20005;110497;CaGe2O5
14664;11050;RbHoS2
17998;11051;ScSnPt2
18510;11052;Li2InRh
30386;11054;GdMg3
3126;11055;SnO
3382;11056;NaMnO2
20025;110583;Ca2Ru2O7
10559;11059;Pr3Al
26547;11065;ScTlSe2
30387;11066;GdMg3
30643;11067;KSnS2
14666;11070;RbTmS2
25779;11073;KPrTe2
20062;110734;Ce2In3Ru2
26548;11074;ScTlTe2
30644;11075;K3Sb
13894;11077;ScF3
17233;11079;VFe2Sn
17745;11080;NbRh
25780;11081;RbCeTe2
14668;11084;RbLuS2
25781;11085;RbNdTe2
7744;11086;ErGe
10307;11087;NpGe3
20097;110876;LaInPd
17491;11090;LiIr3
17747;11091;NbRh3
20106;110917;HC2
28855;11092;GdNiC2
2362;11093;CrAgO2
20113;110945;GaCo2Ni
18004;11097;SnPt3
