material_id;formula_pretty
mp-1067574;TcB
mp-1067704;TcB
mp-1067842;TcB
mp-1068572;Pr3AlC
mp-1068590;Pr3AlC
mp-1068612;Pr3AlC
mp-1068628;Pr3AlC
mp-1068632;Tm(CuGe)2
mp-1068701;Tm(CuGe)2
mp-1068790;Tm(CuGe)2
mp-1068806;Tm(CuGe)2
mp-1068822;Tm(CuGe)2
mp-1068876;Ca(AsPd)2
mp-1068878;Tm(CuGe)2
mp-1068903;Ca(AsPd)2
mp-1068908;Ce(GeAu)2
mp-1068928;Ca(AsPd)2
mp-1068940;Ca(AsPd)2
mp-1068947;Tm(CuGe)2
mp-1068952;Ca(AsPd)2
mp-1068960;Bi2Se3
mp-1068961;Ca(AsPd)2
mp-1068970;Tm(CuGe)2
mp-1068982;Bi2Se3
mp-1068989;Ca(AsPd)2
mp-1069002;Ca(AsPd)2
mp-1069013;Bi2Se3
mp-1069018;Bi2Se3
mp-1069019;Ce(GeAu)2
mp-1069051;Nd2BiO2
mp-1069071;Nd2BiO2
mp-1069097;Nd2BiO2
mp-1069100;Nd2BiO2
mp-1069137;Ce(GeAu)2
mp-1069180;Ce(GeAu)2
mp-1069303;Pu2O3
mp-1069330;Nd2AlNi2
mp-1069387;Nd2AlNi2
mp-1069391;Pu2O3
mp-1069431;Nd2AlNi2
mp-1069440;Bi2Se3
mp-1069448;Bi2Se3
mp-1069456;Pu2O3
mp-1069458;Bi2Se3
mp-1069459;Bi2Se3
mp-1069462;Yb(MnSi)2
mp-1069489;Nd2AlNi2
mp-1069512;Yb(MnSi)2
mp-1069527;Yb(MnSi)2
mp-1069540;Pu2O3
mp-1069563;Yb(MnSi)2
mp-1069565;Yb(MnSi)2
mp-1069606;Yb(MnSi)2
mp-1069621;Yb(MnSi)2
mp-1069629;Yb(MnSi)2
mp-1069657;Yb(MnSi)2
mp-1069686;Yb(MnSi)2
mp-1069731;Yb(MnSi)2
mp-1069757;Yb(MnSi)2
mp-1069874;Ni4Mo
mp-1069967;Ni4Mo
mp-1069983;Al3Ru2
mp-1070011;Ni4Mo
mp-1070013;Al3Ru2
mp-1070036;Al3Ru2
mp-1070062;Al3Ru2
mp-1070153;Ni4Mo
mp-1070237;Tm(CuGe)2
mp-1070282;Tm(CuGe)2
mp-1070324;Tm(CuGe)2
mp-1070362;Tm(CuGe)2
mp-1070408;Gd(SiIr)2
mp-1070470;Yb(MnSi)2
mp-1070522;Yb(MnSi)2
mp-1070577;Yb(MnSi)2
mp-1070580;Al3Ru2
mp-1070583;ErAu4
mp-1070593;Gd(SiIr)2
mp-1070608;Al3Ru2
mp-1070619;Yb(MnSi)2
mp-1070633;Al3Ru2
mp-1070638;Al3Ru2
mp-1070674;Gd(SiIr)2
mp-1070677;ErAu4
mp-1070712;Gd(SiIr)2
mp-1070717;ErAu4
mp-1070734;Bi2Se3
mp-1070741;Ca(AsPd)2
mp-1070756;Bi2Se3
mp-1070760;Ca(AsPd)2
mp-1070768;ErAu4
mp-1070776;Bi2Se3
mp-1070785;Bi2Se3
mp-1070786;Ca(AsPd)2
mp-1070792;Ca(AsPd)2
mp-1070842;LaPIr
mp-1070877;LaPIr
mp-1070942;LaPIr
mp-1070947;LaPIr
mp-10712;ScRh3C
mp-1071471;NpSi2
mp-1071485;NpSi2
mp-1071526;NpSi2
mp-1071537;NpSi2
mp-1071747;SiO2
mp-1071749;SiO2
mp-1071752;SiO2
mp-1071755;SiO2
mp-1071820;SiO2
mp-1071825;SiO2
mp-1071830;SiO2
mp-1071833;SiO2
mp-1072073;TiBe2
mp-1072128;TiBe2
mp-1072147;TiBe2
mp-1072154;TiBe2
mp-1072352;SiO2
mp-1072364;SiO2
mp-1072367;SiO2
mp-1072372;SiO2
mp-1072615;TiSi2
mp-1072624;TiSi2
mp-1072643;TiSi2
mp-1072661;TiSi2
mp-1072922;TbSn2
mp-1072948;TbSn2
mp-1072975;UInNi4
mp-1072977;TbSn2
mp-1075905;SmCrO3
mp-1075908;SmCrO3
mp-1075909;SmCrO3
mp-1075910;SmCrO3
mp-1076948;TbSn2
mp-1076957;SiO2
mp-1076978;SiO2
mp-1077127;UInNi4
mp-1077213;KAuSe
mp-1077262;TbCu5
mp-1077283;SiO2
mp-1077377;YbCuPb
mp-1077438;TbSn2
mp-1077503;TiSi2
mp-1077535;TiSi2
mp-1077573;TbSn2
mp-1077592;SiO2
mp-1077754;TiSi2
mp-1077777;Pr2Bi
mp-1077816;CeMgNi4
mp-1077835;TiSi2
mp-1077911;UGa5Os
mp-1077947;Ni3(SnS)2
mp-1078016;Nd2CuO4
mp-1078053;Ga2FeSe4
mp-1078094;Mn(GaS2)2
mp-1078096;Ni3(SnS)2
mp-1078110;Mn(GaS2)2
mp-1078423;Mg2FeH6
mp-1078485;UPt3
mp-1078492;Cr3PC
mp-1078513;BW
mp-1078609;SrN
mp-1078621;TlInS2
mp-1078701;SiO2
mp-1078757;NdAlNi
mp-1078871;LaGaO3
mp-1078910;LaZnSbO
mp-1078921;BaTaS3
mp-1079060;SiO2
mp-1079087;Sc3In
mp-1079154;BW
mp-1079185;LaGaO3
mp-1079240;LiAl
mp-1079291;SiO2
mp-1079556;LaGaO3
mp-1079590;LaGaO3
mp-1079639;UPt3
mp-1079653;LaGaO3
mp-1079697;SmPRu2C
mp-1079814;Re3B
mp-1079865;SiO2
mp-1079868;CeAlCu
mp-1079952;Na
mp-1080054;NdAlNi
mp-1080398;TbSn2
mp-1080414;UInNi4
mp-1080441;SiO2
mp-1080490;SiO2
mp-1080495;ZrGaPt
mp-1080597;Cr3PC
mp-1080708;CeCuGe2
mp-1080741;SiO2
mp-1080767;Eu(BiPd)2
mp-1080813;LaGaO3
mp-1084756;TlInS2
mp-1084829;TlInS2
mp-10851;SiO2
mp-1086653;Yb(BC)2
mp-1087536;SiO2
mp-1091364;LiDySn2
mp-1092253;UPt3
mp-1093989;Na
mp-1094058;SiO2
mp-1094617;MgGa
mp-1094620;MgGa
mp-1094621;MgGa
mp-1094627;MgGa
mp-1094632;MgGa
mp-1094636;MgGa
mp-1094637;MgGa
mp-1094643;MgGa
mp-1094648;MgGa
mp-1094650;MgGa
mp-1094654;MgGa
mp-1094655;MgGa
mp-1094661;MgGa
mp-1094667;MgGa
mp-1094672;MgGa
mp-1094729;MgGa
mp-10948;SiO2
mp-1094849;MgGa
mp-1094850;MgGa
mp-1094858;MgGa
mp-1094863;MgGa
mp-1094883;MgGa
mp-1094992;MgGa
mp-1095013;MgGa
mp-1095123;LaZnSbO
mp-1095518;HfOs2
mp-1095525;NdNiSn
mp-1095537;Er3(CuSn)4
mp-1095538;Er3(CuSn)4
mp-1095578;Ga5Ni
mp-1095653;Yb3(CuGe)4
mp-1095681;Te2Rh
mp-1096765;Nb2O5
mp-1096829;BPt
mp-1097026;LaGaO3
mp-1097825;BPt
mp-1097866;SiO2
mp-1097878;Sm(CuSi)2
mp-1100398;LiBeSb
mp-1101067;LaGaO3
mp-1101072;Be2Fe
mp-1101660;Nb2O5
mp-1101733;K2O
mp-1101912;BaSiPt
mp-1101956;ZrCuSi
mp-1101984;TaMn2
mp-1102075;TbH2ClO2
mp-1102102;HfOs2
mp-1102123;ScMn2
mp-1102273;YbSnPd
mp-1102396;Ba2In
mp-1102406;ScMn2
mp-1102509;Yb3(CuGe)4
mp-1102522;Er3(CuSn)4
mp-1102556;TaMn2
mp-1102569;ThO2
mp-1102572;TaMn2
mp-1102594;Ga5Ni
mp-1102686;ScMn2
mp-1102759;HoMn2
mp-1103053;Er3(CuSn)4
mp-1103078;HoMn2
mp-1103088;DyAl3
mp-1103117;Er3(CuSn)4
mp-1103163;CaF2
mp-1103192;TaMn2
mp-1103321;HoMn2
mp-1103350;TaMn2
mp-1103379;Cs2SnSe3
mp-1103949;Cs2LiI3
mp-1103992;Nb2O5
mp-1104901;Nb2O5
mp-1105170;SnBr2
mp-1105380;CaSnO3
mp-1105588;Ba2LaTaO6
mp-1105788;SmCrO3
mp-1106082;LiCeSi2
mp-1106143;MgGa
mp-1106237;DyAl3
mp-1112600;Cs2KRhF6
mp-1113133;Cs2KRhF6
mp-1114723;SiO2
mp-1114737;SiO2
mp-1114739;SiO2
mp-1114759;NbSbRu
mp-1114795;SiO2
mp-1114822;TbAgTe2
mp-1114896;SiO2
mp-1114899;SiO2
mp-1114903;SiO2
mp-1114904;SiO2
mp-1114907;SiO2
mp-1114911;SiO2
mp-1114912;SiO2
mp-1114925;SiO2
mp-1114941;SiO2
mp-1114955;SiO2
mp-1114969;CsIO3
mp-1115020;SiO2
mp-1115055;SiO2
mp-1115081;Mn(GaS2)2
mp-1115127;YbSnRh
mp-1115292;SiO2
mp-1115297;K2O
mp-1115320;SiO2
mp-1115332;SiO2
mp-1115375;Rb3NbO8
mp-1115395;TcB
mp-1115411;AuC
mp-1115499;ErZnGa
mp-1115501;EuHgPb
mp-1115637;Nb2O5
mp-1115679;DyPbAu
mp-1115681;Ca3(GaNi)4
mp-1115706;LiYGa4
mp-1115719;YbSnRh
mp-1115739;Al2W
mp-1115786;BaAlGe
mp-1115789;ErSnAu
mp-1116021;SmInRh
mp-1116053;CeInNi
mp-1116145;CSO
mp-1116204;TbPbAu
mp-1116235;Cu8O
mp-1116340;YbSnPd
mp-1116380;ErCu(WO4)2
mp-1116485;SiO2
mp-1116803;SiO2
mp-1116847;SiO2
mp-1117471;CuSe3Br
mp-1117593;CaF2
mp-1117605;SiO2
mp-1117622;SiO2
mp-1117672;SiO2
mp-1117679;SiO2
mp-1117692;SiO2
mp-1117697;SiO2
mp-1117698;SiO2
mp-1117708;SiO2
mp-1117736;SiO2
mp-1117753;SiO2
mp-1117821;SiO2
mp-1117844;SiO2
mp-1117872;SiO2
mp-1117910;CaH2(CO2)2
mp-1117938;LiB(CN)4
mp-1118008;SiO2
mp-1118078;SiO2
mp-1118147;SiO2
mp-1118175;SiO2
mp-1118239;SiO2
mp-1118683;Ca2InN
mp-1118702;Ca2InN
mp-1119441;Ca2InN
mp-1119501;SiO2
mp-1119505;SiO2
mp-1119509;PNF2
mp-1119513;SeO2
mp-1119521;LaN
mp-1119665;SiO2
mp-1119669;SiO2
mp-1119775;SiO2
mp-1119923;LiBeSb
mp-1120325;Na
mp-1120328;Na
mp-1120330;Na
mp-1120340;Na
mp-1120586;Na
mp-1120587;Na
mp-1120597;Na
mp-1120675;Na
mp-1120855;Sr2Sn
mp-1120961;MgGa
mp-1120976;LaN
mp-1121169;NdCl3
mp-1121291;CeInNi
mp-1121422;ZrCuSi
mp-1121593;LaN
mp-1121844;SiO2
mp-1121895;SiO2
mp-1121915;SiO2
mp-1121922;BaHgO2
mp-1121927;SiO2
mp-1121933;SiO2
mp-1121957;SiO2
mp-1121983;SiO2
mp-1121996;SiO2
mp-1122037;SiO2
mp-1122042;Sr2NCl
mp-1122060;SiO2
mp-1122090;SiO2
mp-1122187;SiO2
mp-1122267;SiO2
mp-1122276;SiO2
mp-1122344;SiO2
mp-1122385;SiO2
mp-1122389;SiO2
mp-1122413;K2O
mp-1122490;SiO2
mp-1122504;SiO2
mp-1122558;ThO2
mp-1122565;SiO2
mp-1122588;SiO2
mp-1122591;SiO2
mp-1122594;SiO2
mp-1122615;SiO2
mp-1122649;SiO2
mp-1122654;SiO2
mp-1122686;SiO2
mp-1122756;SiO2
mp-1122827;SiO2
mp-1122853;SiO2
mp-1122861;SiO2
mp-1122887;SiO2
mp-1122899;SiO2
mp-1122945;SiO2
mp-1122961;SiO2
mp-1122976;SiO2
mp-1122993;SiO2
mp-1123011;SiO2
mp-1123015;SiO2
mp-1123026;SiO2
mp-1123049;SiO2
mp-1123070;SiO2
mp-1123170;SiO2
mp-1123200;SiO2
mp-1123217;SiO2
mp-1123226;P2Pt
mp-1123253;SiO2
mp-1123302;SiO2
mp-1123373;SiO2
mp-1123422;SiO2
mp-1123443;SiO2
mp-1123543;SiO2
mp-1123624;TmInCu2
mp-1123743;SiO2
mp-1123745;SiO2
mp-1123822;SiO2
mp-1123865;SiO2
mp-1123866;SiO2
mp-1124029;SiO2
mp-1124050;SiO2
mp-1124056;SiO2
mp-1124082;SiO2
mp-1124084;SiO2
mp-1124119;SiO2
mp-1124121;SiO2
mp-1124122;SiO2
mp-1124152;SiO2
mp-11242;DyPbAu
mp-1124355;RbHSO4
mp-1124395;Li2SbAu
mp-1124489;SiO2
mp-1124523;AlCr2C
mp-1124561;SiO2
mp-1124562;RhF3
mp-1124569;SiO2
mp-1124621;LaGaO3
mp-1124737;SiO2
mp-1124747;SiO2
mp-1124761;SiO2
mp-1124804;Sc2AlC
mp-1124831;SiO2
mp-1124832;SiO2
mp-1124860;SiO2
mp-1124863;SiO2
mp-1124874;SiO2
mp-1124889;SiO2
mp-1124892;SiO2
mp-1124908;SiO2
mp-1124909;SiO2
mp-1124913;SiO2
mp-1124920;SiO2
mp-1124921;SiO2
mp-1124936;SiO2
mp-1124940;SiO2
mp-1124947;Yb(MnSi)2
mp-1124963;SiO2
mp-1124964;SiO2
mp-1124966;SiO2
mp-1124971;SiO2
mp-1124972;SiO2
mp-1124983;SiO2
mp-1124986;SiO2
mp-1124994;SiO2
mp-1124997;SiO2
mp-1125001;SiO2
mp-1125004;SiO2
mp-1125017;SiO2
mp-1125019;SiO2
mp-1125024;SiO2
mp-1125030;SiO2
mp-1125042;SiO2
mp-1125048;SiO2
mp-1125049;SiO2
mp-1125050;SiO2
mp-1125058;SiO2
mp-1125061;SiO2
mp-1125063;SiO2
mp-1125069;SiO2
mp-1125078;SiO2
mp-1125083;SiO2
mp-1125101;SiO2
mp-1125109;SiO2
mp-1125114;SiO2
mp-1125118;SiO2
mp-1125126;SiO2
mp-1125139;SiO2
mp-1125151;SiO2
mp-1125159;SiO2
mp-1125160;SiO2
mp-1125164;SiO2
mp-1125168;SiO2
mp-1125171;SiO2
mp-1125177;SiO2
mp-1125181;SiO2
mp-1125182;SiO2
mp-1125185;SiO2
mp-1125186;U6Fe16Si7
mp-1125201;SiO2
mp-1125231;SiO2
mp-1125234;SiO2
mp-1125235;SiO2
mp-1125237;SiO2
mp-1125241;SiO2
mp-1125244;SiO2
mp-1125252;SiO2
mp-1125257;SiO2
mp-1125261;SiO2
mp-1125271;SiO2
mp-1125283;SiO2
mp-1125292;SiO2
mp-1125300;SiO2
mp-1125308;SiO2
mp-1125312;SiO2
mp-1125313;SiO2
mp-1125314;SiO2
mp-1125326;SiO2
mp-1125335;SiO2
mp-1125336;SiO2
mp-1125542;Nb2O5
mp-11256;ScAu
mp-1125632;Nb2O5
mp-1125690;EuClF
mp-1125731;LaGeAu
mp-1125790;Li8IrO6
mp-11258;TbAu
mp-1125908;LaGa3Pd2
mp-1126122;Ni2H
mp-1126182;Ho2(GePt3)3
mp-1126411;Li2CeSb2
mp-1126528;YbSnPd
mp-1126574;CsIO3
mp-1126656;KCu3Te2
mp-1126775;TiSi2
mp-1126816;GeBi4Te7
mp-1126860;PNF2
mp-1126963;PNF2
mp-1126994;MnGaPt
mp-1127009;PrClO
mp-1127129;KAuSe
mp-1127229;YClO
mp-1127261;DyAl3
mp-1127337;YClO
mp-1127405;K2O
mp-1127643;Tm(CuGe)2
mp-1127722;Li2O
mp-1127801;ScRh3C
mp-1127825;Pr3AlC
mp-1128005;Nd(SiAu)2
mp-1128039;TmCd2
mp-1128069;Rb3NbO8
mp-1128096;SiO2
mp-1128113;SiO2
mp-1128118;SiO2
mp-1128249;SiO2
mp-1128253;SiO2
mp-1128381;ErSCl
mp-1128420;SiO2
mp-1128435;Li3UO4
mp-11285;Ca3(GaNi)4
mp-1128688;PrB2Ir3
mp-1128740;Ba2LaTaO6
mp-1128755;Ba2LaTaO6
mp-1129248;SeO2
mp-1129310;SeO2
mp-1129375;SeO2
mp-1129403;SiO2
mp-1129404;Li2Si2O5
mp-1129414;Li2Si2O5
mp-1129439;Li2Si2O5
mp-1129442;SiO2
mp-1129453;Li2Si2O5
mp-1129461;SiO2
mp-1129472;SiO2
mp-1129648;NpAs2
mp-1129842;UReB3
mp-1130024;KAg3Se2
mp-1130071;SeO2
mp-1130155;DyAl3
mp-1130205;TlP(HO2)2
mp-1130281;TlP(HO2)2
mp-1130792;Cu8O
