material_id;band_gap
mp-1153988;1.9665
mp-1155366;1.414
mp-1155505;1.9172
mp-1156942;2.4367
mp-1157954;5.381
mp-1158591;0
mp-1158914;0.0471
mp-1159009;0
mp-1159142;0
mp-1159225;0
mp-1159363;0
mp-11594;0
mp-1159573;0
mp-1159602;1.255
mp-1159720;0
mp-1160475;2.5391
mp-1160814;0
mp-1160881;0
mp-1161266;2.3109
mp-1161454;4.2157
mp-1161468;1.2573
mp-1162057;6.5634
mp-1162708;1.0265
mp-1162985;1.0281
mp-1163178;4.8473
mp-1163515;0
mp-1163593;0.4981
mp-1163639;4.0352
mp-1164360;1.7533
mp-1164488;0
mp-1164932;0
mp-1164935;0
mp-1164954;0
mp-1164955;0
mp-1164992;0
mp-1165068;0.8836
mp-1165126;0
mp-1165179;0
mp-1165207;0
mp-1165733;2.2592
mp-1165827;1.7043
mp-1165985;3.1451
mp-1166043;0
mp-1166045;0
mp-1166275;6.9975
mp-1166566;0
mp-1167195;0.4663
mp-1167517;0
mp-1168157;3.291
mp-1169558;4.6901
mp-1169621;4.436
mp-1170147;0
mp-1170763;0
mp-1171233;2.3806
mp-1171575;0
mp-1172005;0
mp-1172526;2.2351
mp-1172845;3.2253
mp-11743;0.0303
mp-1179757;5.0034
mp-1179814;5.0835
mp-1179821;5.7577
mp-1179829;5.8049
mp-1180370;0
mp-1180424;0
mp-1180994;1.4019
mp-1181285;0.4032
mp-1181584;2.9831
mp-1182583;0
mp-1185410;0
mp-1185582;0.0442
mp-1185859;0
mp-1186271;0.5472
mp-1186771;0
mp-1186774;0
mp-1186780;0
mp-1188642;0
mp-1189340;0
mp-1191035;0
mp-1191737;0
mp-1192213;3.2416
mp-1194463;3.6207
mp-1195896;5.3335
mp-1196113;4.1376
mp-1196833;1.5165
mp-1197174;3.2927
mp-1197814;0.3513
mp-1197989;5.3213
mp-1198150;0.6402
mp-1200453;5.7363
mp-1201065;2.3545
mp-1201852;1.9233
mp-1202835;5.3197
mp-1203133;4.1887
mp-1204989;1.7253
mp-1205321;0.1757
mp-12118;0.09
mp-1216736;4.2562
mp-1217027;0
mp-1220079;0
mp-1221975;0.6007
mp-12265;1.0063
mp-1226850;0
mp-1230039;2.3491
mp-1230498;0
mp-1230500;8.6636
mp-1230698;0
mp-1230762;4.5024
mp-1231296;0.2507
mp-1231663;1.6209
mp-1232297;0
mp-1237143;0.4409
mp-1237221;0.4814
mp-1237534;1.0125
mp-1237570;3.2413
mp-1239745;4.3784
mp-1239912;0
mp-1239965;7.9929
mp-1240044;0
mp-1240391;0.204
mp-1240448;0
mp-1240549;0
mp-1240586;0
mp-1240632;0
mp-1240717;0.3755
mp-1241051;3.3027
mp-1241435;4.4434
