material_id;spacegroup
mp-1061981;R-3m
mp-1061983;R-3m
mp-1061988;Immm
mp-1062005;Immm
mp-1062034;P6/mmm
mp-1062038;Immm
mp-1062069;P6/mmm
mp-1062091;Fm-3m
mp-1062097;P6/mmm
mp-1062100;P6/mmm
mp-1062124;Fm-3m
mp-1062132;Fm-3m
mp-1062249;P6/mmm
mp-1062257;R-3m
mp-1062265;P6/mmm
mp-1062295;P6/mmm
mp-1062299;P6/mmm
mp-1062301;R-3m
mp-1062317;R-3m
mp-1062326;R-3m
mp-1062603;I4/mmm
mp-1062632;I4/mmm
mp-1062650;I4/mmm
mp-1062654;I4/mmm
mp-1062663;I4/mmm
mp-1062680;I4/mmm
mp-1062705;I4/mmm
mp-1062730;I4/mmm
mp-1062755;Fm-3m
mp-1062773;Fm-3m
mp-1062785;Fm-3m
mp-1062786;Fm-3m
mp-1062978;P-3m1
mp-1063017;P-3m1
mp-1063041;P-3m1
mp-1063069;P-3m1
mp-1063322;Fm-3m
mp-1063329;Fm-3m
mp-1063346;Fm-3m
mp-1063347;Fm-3m
mp-1063426;I4/mmm
mp-1063471;I4/mmm
mp-1063494;I4/mmm
mp-1063524;I4/mmm
mp-1063532;I4/mmm
mp-1063568;I4/mmm
mp-1063600;I4/mmm
mp-1063625;I4/mmm
mp-1064406;P4/nmm
mp-1064412;P4/nmm
mp-1064428;P4/nmm
mp-1064442;P4/nmm
mp-1064469;Amm2
mp-1064504;Amm2
mp-1064525;Amm2
mp-1064561;Amm2
mp-1064902;P4/nmm
mp-1064912;P4/nmm
mp-1064926;P4/nmm
mp-1064938;P4/nmm
mp-1065926;Cmcm
mp-1065966;Cmcm
mp-1065988;Cmcm
mp-1066033;Cmcm
mp-1066433;P6_3/mmc
mp-1066444;P6_3/mmc
mp-1066462;P6_3/mmc
mp-1066469;P6_3/mmc
mp-1066713;Cmcm
mp-1066745;Cmcm
mp-1066764;Cmcm
mp-1066808;Cmcm
mp-1066882;Cmcm
mp-1066920;Cmcm
mp-1066966;Cmcm
mp-1067;Fd-3m
mp-1067012;Cmcm
mp-1067024;I4/mmm
mp-1067060;I4/mmm
mp-1067079;I4/mmm
mp-1067091;I4/mmm
mp-1067383;Pm-3m
mp-1067391;Pm-3m
mp-1067395;P6_3/mmc
mp-1067402;Pm-3m
mp-1067406;Pm-3m
mp-1067421;P6_3/mmc
mp-1067440;P6_3/mmc
mp-1067443;I4/mmm
mp-1067448;P6_3/mmc
mp-1067450;P6_3/mmc
mp-1067451;P6_3mc
mp-1067474;P6_3/mmc
mp-1067478;I4/mmm
mp-1067495;I4/mmm
mp-1067497;P6_3/mmc
mp-1067507;I4/mmm
mp-1067511;P6_3/mmc
mp-1067574;P6_3mc
mp-1067704;P6_3mc
mp-1067842;P6_3mc
mp-1068572;Pm-3m
mp-1068590;Pm-3m
mp-1068612;Pm-3m
mp-1068628;Pm-3m
mp-1068632;I4/mmm
mp-1068701;I4/mmm
mp-1068790;I4/mmm
mp-1068806;I4/mmm
mp-1068822;I4/mmm
mp-1068876;I4/mmm
mp-1068878;I4/mmm
mp-1068903;I4/mmm
mp-1068908;I4/mmm
mp-1068928;I4/mmm
mp-1068940;I4/mmm
mp-1068947;I4/mmm
mp-1068952;I4/mmm
mp-1068960;R-3m
mp-1068961;I4/mmm
mp-1068970;I4/mmm
mp-1068982;R-3m
mp-1068989;I4/mmm
mp-1069002;I4/mmm
mp-1069013;R-3m
mp-1069018;R-3m
mp-1069019;I4/mmm
mp-1069051;I4/mmm
mp-1069071;I4/mmm
mp-1069097;I4/mmm
mp-1069100;I4/mmm
mp-1069137;I4/mmm
mp-1069180;I4/mmm
mp-1069303;P-3m1
mp-1069330;Immm
mp-1069387;Immm
mp-1069391;P-3m1
mp-1069431;Immm
mp-1069440;R-3m
mp-1069448;R-3m
mp-1069456;P-3m1
mp-1069458;R-3m
mp-1069459;R-3m
mp-1069462;I4/mmm
mp-1069489;Immm
mp-1069512;I4/mmm
mp-1069527;I4/mmm
mp-1069540;P-3m1
mp-1069563;I4/mmm
mp-1069565;I4/mmm
mp-1069606;I4/mmm
mp-1069621;I4/mmm
mp-1069629;I4/mmm
mp-1069657;I4/mmm
mp-1069686;I4/mmm
mp-1069731;I4/mmm
mp-1069757;I4/mmm
mp-1069874;I4/m
mp-1069967;I4/m
mp-1069983;P-3m1
mp-1070011;I4/m
mp-1070013;P-3m1
mp-1070036;P-3m1
mp-1070062;P-3m1
mp-1070153;I4/m
mp-1070237;I4/mmm
mp-1070282;I4/mmm
mp-1070324;I4/mmm
mp-1070362;I4/mmm
mp-1070408;I4/mmm
mp-1070470;I4/mmm
mp-1070522;I4/mmm
mp-1070577;I4/mmm
mp-1070580;I4/mmm
mp-1070583;I4/m
mp-1070593;I4/mmm
mp-1070608;I4/mmm
mp-1070619;I4/mmm
mp-1070633;I4/mmm
mp-1070638;I4/mmm
mp-1070674;I4/mmm
mp-1070677;I4/m
mp-1070712;I4/mmm
mp-1070717;I4/m
mp-1070734;R-3m
mp-1070741;I4/mmm
mp-1070756;R-3m
mp-1070760;I4/mmm
mp-1070768;I4/m
mp-1070776;R-3m
mp-1070785;R-3m
mp-1070786;I4/mmm
mp-1070792;I4/mmm
mp-1070842;I4_1md
mp-1070877;I4_1md
mp-1070942;I4_1md
mp-1070947;I4_1md
mp-10712;Pm-3m
mp-1071471;I4_1/amd
mp-1071485;I4_1/amd
mp-1071526;I4_1/amd
mp-1071537;I4_1/amd
